timestamp_iso,mode,voter_unique_id,approved,latency_ms
2025-12-04T18:53:09.651187,manual,123251,1,4576
2025-12-04T18:56:55.341147,manual,100001,1,6704
2025-12-04T18:57:36.259239,manual,100002,1,3927
2025-12-04T18:58:31.030527,manual,110005,1,5263
2025-12-04T19:57:08.902855,manual,100001,1,3317
2025-12-04T20:01:55.533902,manual,100001,1,2858
2025-12-04T20:03:34.445038,manual,100002,1,5041
2025-12-04T20:04:37.031120,manual,110005,1,2729
2025-12-04T20:06:10.842883,manual,123248,1,3009
2025-12-04T20:07:05.991233,manual,123249,1,2855
2025-12-04T20:08:30.626781,manual,123250,1,2820
2025-12-04T20:09:42.214542,manual,123251,1,3485
